ClassName,Time,GroupNo
users.tests.apis.v3.test_carsharing_customers.TestReservationSteps,3.3099999999999996,1
trips.tests.apis.test_scheduled_trip_requests.TestScheduledTripUpcomingNotifications,3.2560000000000002,1
pricing_engine.tests.test_engine.TestRentalFare,3.173,1
users.tests.apis.v2.test_carsharing_customers.TestCustomerUUIDField,3.166,1
services.tests.apis.v3.test_services.TestRidesharingServicesAPIV3AsDispatcherAccessRestrictions,3.036,1
django_utils.tests.apis.test_translation.DRFTranslationTestCase,3.014,1
rentals.tests.apis.v3.test_scheduling.TestSRDateTimeAPIPeriodContiguousWeekEndBreak,2.9560000000000004,1
trips.tests.models.test_trips.TripTestCase,2.885,1
ops_center.tests.apis.v3.test_service_prefences.TestOpsCenterServicePreferences,2.8659999999999997,1
rentals.tests.apis.v3.test_availability.TestServiceAvailabilityAPIForModifyingSRR,2.7920000000000003,1
vehicle_markers.tests.test_apis.TestVehicleMarkerTypeAPIAsDispatcher,2.786,1
users.tests.apis.test_customer_signup.TestCustomerSignup,2.765,1
rest_utils.tests.test_authentication.TestMFAVerifyAPI,2.684,1
hardware_sdk_otakeys.tests.test_webhooks.TestSynthesisPushView,2.675,1
hardware_sdk_mensa.tests.apis.test_parameters_cache.TestMensaDeviceParametersCacheViewSet,2.623,1
ops_center.tests.views.test_dispatch_ui.TestVehiclePicView,2.585,1
services.tests.apis.v2.test_configurations.TestConfigurationEditingAsAdmin,2.519,1
payments.tests.utils.test_carsharing_payment_utils.TestBuildPaymentDisplay,2.51,1
trips.tests.models.test_trips.TestTripRatingsAsCustomer,2.435,1
uber_integration.tests.test_rental_events_triggering.RentalEventsTest,2.418,1
hardware_sdk_mensa.tests.test_mensa_action_status.TestMensaActionStatus,2.349,1
rentals.tests.utils.test_core_rental_flow.TestEndRentalFlow,2.343,1
payments.tests.tasks.test_payments.TestChargeRegistrationFee,2.291,1
uber_integration.tests.test_rentals_api.UberRentalApiTest,2.263,1
payments.tests.utils.test_carsharing_payment_utils.TestCalculateShortTripFareCallsWhenPricingSnapshotDisabled,2.2479999999999998,1
users.tests.apis.test_drivers.DriverStateTestCase,2.21,1
promotions.tests.models.test_credits.TestCouponsUsedCreationDict,2.201,1
django_utils.tests.utils.test_middleware.MiddlewareTests,2.136,1
trips.tests.models.test_scheduled_trip_requests.TestScheduledTripRequestSlots,2.12,1
users.tests.commands.test_delete_carsharing_creditcards.TestDeleteCarsharingCreditCardsCommand,2.089,1
rentals.tests.models.test_rentals.TestScheduledRentalRequestsFallbackAssignment,2.0639999999999996,1
rentals.tests.apis.v3.test_vehicle_leasing.TestSRRVehicleLeasingV3API,2.0140000000000002,1
stations.tests.test_apis.StationViewSetTestAddRemoveCarsharingServices,1.985,1
payments.tests.models.test_rental_payments.TestCarsharingPricing,1.941,1
users.tests.apis.test_customers.TestCustomersAPIDispatcherAndCustomer,1.941,1
trips.tests.apis.test_create_trip.TestTripCreationExclusiveService,1.93,1
services.tests.apis.v3.test_carsharing_services.TestCarsharingServicesAPIV3Anonymous,1.8239999999999998,1
vehicles.tests.apis.test_carsharing_vehicles.TestVehicleUpdate,1.798,1
rentals.tests.apis.v3.test_addon_availability.TestAddonAvailability,1.787,1
users.tests.apis.test_customers.TestIdentityAPIAsSupplierManager,1.755,1
users.tests.apis.v2.test_carsharing_customers.TestCustomerRegistrationCurrency,1.714,1
rentals.tests.tasks.test_scheduling.TestSchedulingTasksNoShow,1.6999999999999997,1
vehicle_conditions.tests.apis.test_vehicle_condition.TestVehicleConditionApiAsAFMClient,1.637,1
damages.tests.tasks.test_damages.TestDamageTasks,1.6289999999999998,1
payments.tests.models.test_rental_payments.TestRentalEnded,1.579,1
rider_web.tests.test_app_views.TestAppViews,1.574,1
hardware_sdk_mensa.tests.apis.test_mensa_bluetooth.TestRegisterMensaMobileDeviceViewSet,1.5459999999999998,1
vehicles.tests.utils.test_vehicle_csv_import.TestCSVImport,1.543,1
rest_utils.tests.test_paginator.TestV3StandardPagination,1.464,1
payments.tests.tasks.test_rental_payments.TestPaymentTasks,1.455,1
vehicles.tests.apis.v3.test_carsharing_vehicles.TestSupplierVehiclesAPISerializer,1.4260000000000002,1
hardware_sdk_geotab.tests.test_fault_data_tasks.TestFetchGo9FaultData,1.42,1
django_utils.tests.utils.test_email_utils.EmailValidationTest,1.358,1
users.tests.utils.test_user_utils.TestUserEmail,1.352,1
trips.tests.apis.test_etas.TestPreRequestETA,1.339,1
payments.tests.tasks.test_rental_payments.TestUpdateHoldPaymentDescription,1.3,1
vehicles.tests.apis.v2.test_carsharing_vehicles.TestDiscoverVehicleAPIAsCustomer,1.271,1
vehicle_conditions.tests.apis.test_vehicle_condition.TestVehicleConditionsInfoApiAsCustomer,1.241,1
promotions.tests.utils.test_promotion_eligibility_processors.TakeMTripsGetNCreditsProcessorTest,1.2080000000000002,1
services.tests.apis.test_services.CosmeticsInServicesAPITestCase,1.19,1
service_regions.tests.test_operatingregions.TestV3RegistrationRegionAPIAsServiceManager,1.1709999999999998,1
vehicle_conditions.tests.apis.test_vehicle_condition.TestVehicleConditionsApiAsCustomer,1.14,1
vehicle_lifecycle.tests.test_models.TestVehicleLifeCycleTemplate,1.1260000000000001,1
users.tests.models.test_carsharing_customers.TestCustomer,1.101,1
users.tests.apis.v3.test_customers.TestCustomerResendVerification,1.053,1
trips.tests.apis.test_scheduled_trip_requests.TestScheduledTripRequestAvailabilityAsDispatcher,1.05,1
rentals.tests.utils.test_carsharing_validation_utils.CarsharingValidationUtilsTestCase,0.9940000000000002,1
vehicle_blocks.tests.test_vehicle_blocks.TestGetVehicleBlockAPI,0.9930000000000001,1
users.tests.apis.v2.test_supplier_companies.TestServiceTypeAPIV2,0.98,1
driver_scheduling.tests.models.test_slots.DriverSlotTestBase,0.952,1
phone_messaging.tests.tasks.test_sip_endpoints.TestSipEndpoints,0.911,1
users.tests.apis.test_customers.TestCustomersAPIManager,0.898,1
services.tests.serializers.test_services_serializers.TestOptimizedServiceSerializer,0.883,1
payments.tests.utils.test_carsharing_payment_utils.TestRefundingCreditsAndCC,0.8450000000000001,1
vehicles.tests.tasks.test_carsharing_vehicles.DataPipelineVehicleUpdateEventTestCase,0.8200000000000001,1
promotions.tests.models.test_credits.CreditBalanceModelTestCase,0.7950000000000002,1
users.tests.models.test_customer_history_2.TestCustomerHistoryFromVehicles,0.782,1
vehicle_lifecycle.tests.test_lifecycle_utils.TestLifeCycleUtils,0.77,1
pricing_engine.tests.test_engine.TestVehiclePricingWithBlocks,0.756,1
users.tests.apis.v2.test_supplier_companies.TestServiceTypeAPIV2AsCustomer,0.743,1
payments.tests.utils.test_payment_utils.TestMultiTripAwardRefund,0.7110000000000001,1
afm_integration.tests.test_afm_rule_engine_integration.AFMRuleEngineClientActionsTests,0.702,1
services.tests.api.v3.test_support_phone_numbers.TestSupportPhoneNumbersAPIv3,0.69,1
pricing_engine.tests.test_engine.TestSetPricingWithBlocks,0.633,1
service_regions.tests.test_signals.ServiceRegionSignalsTestCase,0.633,1
rest_utils.tests.test_authentication.TestMFAResendAPIAsDispatcher,0.613,1
app_logging.tests.signals.test_customer_device_context_signals.TestCustomerDeviceContextSignals,0.607,1
hardware_sdk_geotab.tests.test_webhooks_serializers.TestGeotabCheckInRequestSerializer,0.587,1
vehicles.tests.apis.v3.test_vehicle_tags.TestVehicleTagAPI,0.5840000000000001,1
users.tests.apis.test_customers.TestIdentityAPIAsDriverManager,0.56,1
hardware_sdk_mensa.tests.test_webhooks.TestMensaPushCCMParameters,0.552,1
vehicle_conditions.tests.apis.test_vehicle_condition.TestVehicleConditionApiAsServiceManager,0.529,1
services.tests.apis.v3.test_markets.TestMarketAPIAsAnonymous,0.517,1
hardware_sdk_mensa.tests.utils.test_synthesis.TestMensaSynthesis,0.4949999999999999,1
trips.tests.models.test_scheduled_trip_requests.TestScheduledTripRequestsPaymentUtils,0.488,1
hardware_sdk_otakeys.tests.test_rentals.OdometerJumpingTestCase,0.4760000000000001,1
service_regions.tests.tests_special_dispatch_regions.TestPinBasedSpecialDispatchRegion,0.475,1
trips.tests.apis.test_trips.TestTripTasksAsDriverManager,0.456,1
tickets.tests.models.test_tickets.TestTicketSaveMethodUpdate,0.446,1
users.tests.apis.test_feedback.TestFeedbackAsDispatcher,0.419,1
hardware_sdk_geotab.tests.test_clear_virutal_keys_tasks.TestVirtualKeyFunctions,0.41300000000000003,1
django_utils.tests.models.test_base_model.TestCreatedAndUpdatedTimestamps,0.405,1
firebase.tests.test_utils.TokenCreationTestCase,0.399,1
payments.tests.utils.test_carsharing_payment_utils.TestPaymentDisplay,0.373,1
payments.tests.utils.test_carsharing_payment_utils.TestSendRentalReceipt,0.361,1
service_regions.tests.test_tasks.ServiceRegionTasksTestCase,0.359,1
vehicle_conditions.tests.apis.test_vehicle_condition.TestVehicleConditionApiAsManager,0.347,1
vehicles.tests.apis.v3.test_event_report_config.TestEventReportConfigAsDispatcher,0.336,1
promotions.tests.models.test_coupons.CouponModelTestCase,0.33499999999999996,1
hardware_sdk_geotab.tests.test_go9_gps_task.TestVendorTasks,0.315,1
payments.tests.utils.test_carsharing_payment_utils.TestBuildScheduledRentalReceiptData,0.313,1
